bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes,fragment
2017,Environmental Health & Safety - Asbestos,,3899,1461,2019-01-01,budget-fy2019-20-book,159,"no original budget printed; FY20 budget 5,099,434",fy2019-20
2017,Environmental Health & Safety - Asbestos,,5030.43,4330.927,2021-03-11,budget-fy2021-22-vol1,262,EH&S lines carry no original budget,fy2021-22
2017,Environmental Health & Safety - Fire Alarm / Sprinklers,,12994.293,12143.409,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
2017,Environmental Health & Safety - Fire Alarm & Sprinklers,,9040,880,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 14,132,783",fy2019-20
2017,Environmental Health & Safety - Lead Based Paint,,11901,1863,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 6,295,140",fy2019-20
2017,Environmental Health & Safety - Lead Based Paint,,11963.004,2855.913,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
2017,Environmental Health & Safety - Radon,,194.2,181.767,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
2017,Environmental Health & Safety - Radon,,290,173,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 120,000",fy2019-20
2017,Environmental Health & Safety - Roofs,,3939,183,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 12,429,697",fy2019-20
2017,Environmental Health & Safety - Roofs,,79548.887,73399.104,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 18,281,267",fy2021-22
2017,Environmental Health & Safety - Security,,4297,44,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 10,987,000",fy2019-20
2017,Environmental Health & Safety - Security,,9005.952,7022.054,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
2017,Environmental Health & Safety - Water Quality,,9107,2361,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 10,000,951",fy2019-20
2017,H&S: ADA,10000,9200,7716.256,2020-01-14,bond-audit-bond-performance-audit-year-2,16,H&S budgets net of 8% mgmt set-aside; 6 schools done 5 upcoming,bonds
2017,H&S: Asbestos,12000,10590.806,3468.743,2020-01-14,bond-audit-bond-performance-audit-year-2,16,15 done 10 upcoming,bonds
2017,H&S: Fire,25849.99,23781.991,8540.44,2020-01-14,bond-audit-bond-performance-audit-year-2,16,11 done 20 upcoming,bonds
2017,H&S: Lead Paint,16623.936,14624.624,873.117,2020-01-14,bond-audit-bond-performance-audit-year-2,16,58 done 72 upcoming,bonds
2017,H&S: Management Cost,0,12000,5150.222,2020-01-14,bond-audit-bond-performance-audit-year-2,16,8% set-aside from each H&S category (Sep 2017 e-Builder),bonds
2017,H&S: Radon,1126.125,1036.035,149.812,2020-01-14,bond-audit-bond-performance-audit-year-2,16,16 done; retest 5-10 yrs,bonds
2017,H&S: Roof/Seismic,50907.949,49784.507,31114.067,2020-01-14,bond-audit-bond-performance-audit-year-2,16,budget incl 2500 SRGP grant; 7 of 14 schools done,bonds
2017,H&S: Security,5000,12600,1138.924,2020-01-14,bond-audit-bond-performance-audit-year-2,16,budget incl 8000 OSCIM grant; expanded beyond 11 planned sites,bonds
2017,H&S: Water,28492,26882.032,2235.803,2020-01-14,bond-audit-bond-performance-audit-year-2,16,6 pilots done; 15/month planned,bonds
2017,Hayhurst SRGP,0,2500,0,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2017,Health & Safety Program,150000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,estimates seem based on professional estimates but reports unavailable for all categories (p12); districtwide H&S need assessed at 1.6B (Y2 p15),bonds
2017,Health & Safety Program,150000,158000,32800,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,cur incl 8000 OSCIM grant = added funding not cost; spent 32800 of 150000 as of Jun 2019 (p17),bonds
2017,Health & Safety Program,150000,160500,60400,2020-01-14,bond-audit-bond-performance-audit-year-2,12,cur = available FUNDING incl 8000 OSCIM + 2500 SRGP grants; spent 60400 = 38% (p15-16),bonds
2017,Health & Safety Program,150000,175282.872,142549.788,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 179280.525 (premium/grants +11000 non-bond); more improvements than envisioned; no stated completion deadline (p13),bonds
2017,Jefferson HS Modernization Pre-Design (Pre-Bond),0,100,0,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2017,Kellogg MS,45000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,internal model 68000 (p15),bonds
2017,Kellogg MS,45000,57892.617,57892.035,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 57941.414; complete,bonds
2017,Kellogg MS,45000,58000,,2022-03-31,bond-audit-bond-performance-audit-year-4,32,revised design-stage baseline 60000 (+33% vs ballot); EAC -3% vs revised; opened Jan 2021 1 month late (p32),bonds
2017,Kellogg MS,45000,59800,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+32.9%; construction,bonds
2017,Kellogg MS,45000,59800,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,stable; construction,bonds
2017,Kellogg Replacement,45000,59811,16341,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2017,Kellogg Replacement,45000,60186,4398,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 34,623,569",fy2019-20
2017,Kellogg Replacement,45000.0,59846.15,53064.349,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 604,290",fy2021-22
2017,Lincoln HS Replacement,187000,242500,12199,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2017,Lincoln HS Replacement,187000,242879,2663,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 26,000,000",fy2019-20
2017,Lincoln HS Replacement,187000.0,242500.0,65079.843,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 88,065,179",fy2021-22
2017,Lincoln HS,187000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,internal model 210000 (p15),bonds
2017,Lincoln HS,187000,,,2023-05,bond-audit-bond-performance-audit-year-5,12,forecast cost savings 9000-9500 to return to bond program; both phases on schedule (p12-13); ANOMALY: Exhibit 3 EAC table is an image lost to extraction,bonds
2017,Lincoln HS,187000,223557.85,223600.784,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 240469.558; completed on time; 16900 under revised budget (Ex 6 p19: constr 6000 + prof svcs 500 + owner 200 + contingency 10200 savings); BAC Jan 2025 reported 18600 savings; savings not yet reallocated,bonds
2017,Lincoln HS,187000,240000,,2022-03-31,bond-audit-bond-performance-audit-year-4,32,revised baseline 243000 (+30%); EAC -1% vs revised,bonds
2017,Lincoln HS,187000,242500,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,-0.2% vs Jun 2019; construction,bonds
2017,Lincoln HS,187000,243100,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+30%; design,bonds
2017,Madison HS (later McDaniel),146000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,internal model 171000 (p15),bonds
2017,Madison HS (later McDaniel),146000,202500,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,-1.9%; construction,bonds
2017,Madison HS (later McDaniel),146000,206500,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,+41.4%; construction,bonds
2017,Madison HS Modernization,146000,199274,5902,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 86,000,000",fy2019-20
2017,Madison HS Modernization,146000,201503,37416,2020-01-17,budget-fy2020-21-vol1,221,,fy2020-21
2017,Madison HS Modernization,146000.0,202540.25,150668.387,2021-03-11,budget-fy2021-22-vol1,262,"Budget FY22 19,577,186; school renamed McDaniel HS (p.259)",fy2021-22
2017,McDaniel HS (formerly Madison),146000,200508.133,200396.979,2025-02-13,bond-audit-bond-performance-audit-year-6,13,revised budget 200717.847; complete,bonds
2017,McDaniel HS (formerly Madison),146000,201000,,2022-03-31,bond-audit-bond-performance-audit-year-4,32,revised baseline 199000 (+36%); EAC +2% vs revised; opened Jul 2021 2 months late (p32),bonds
2017,Modernization subtotal (Benson/Kellogg/Lincoln/Madison),580000.0,572208.971,292046.121,2021-03-11,budget-fy2021-22-vol1,262,,fy2021-22
2017,Multiple Sites - 2018-2019 Middle School Conversions,0,32541,29128,2019-01-01,budget-fy2019-20-book,159,"FY20 budget 780,000",fy2019-20
2017,Program Mgmt & Contingency,60000,,,2017-01,bond-audit-bond-performance-audit-year-1-phase-1,12,FINDING: assumptions low vs other districts and PPS history (p12),bonds
2017,Program Mgmt & Contingency,60000,57900,,2020-01-14,bond-audit-bond-performance-audit-year-2,12,= 17600 contingency + 40300 mgmt; -25.4% vs Jun 2019,bonds
2017,Program Mgmt & Contingency,60000,72600,,2019-06-19,bond-audit-bond-performance-audit-year-1-phase-2,16,= 20600 contingency + ~52000 mgmt (auditor-calculated); orig 20000 contingency + 40000 mgmt,bonds
2017,TOTAL 2017 Bond,790000,778981,56108,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2017,Unallocated Athletics,0,104.511,0,2025-02-13,bond-audit-bond-performance-audit-year-6,13,,bonds
2017,Wilson HS Modernization Pre-Design (Pre-Bond),0,100,0,2019-01-01,budget-fy2019-20-book,159,,fy2019-20
2020 (26-215),Benson Polytechnic HS Completion,152000,,,2020-09,tscc-measure-26-215-review,6,,tscc
2020 (26-215),Center for Black Student Excellence,60000,,,2020-09,tscc-measure-26-215-review,6,26-259 review p.5 notes continued auditor/press scrutiny of slow progress,tscc
2020 (26-215),Design/Pre-construction of 2 High Schools,40000,,,2020-09,tscc-measure-26-215-review,6,Cleveland and Ida B Wells (Wilson),tscc
2020 (26-215),Educational Improvements,229000,,,2020-09,tscc-measure-26-215-review,6,,tscc
2020 (26-215),Health and Safety Projects,184000,,,2020-09,tscc-measure-26-215-review,6,,tscc
2020 (26-215),Jefferson High School Modernization,311000,,,2020-09,tscc-measure-26-215-review,6,,tscc
2020 (26-215),Management (6%),63000,,,2020-09,tscc-measure-26-215-review,6,,tscc
2020 (26-215),Multiple Pathways to Graduation Program Building,64000,,,2020-09,tscc-measure-26-215-review,6,"later renamed hayu alqi uyxat (Benson campus, opened fall 2024 per tscc-review-fy2026 p.12)",tscc
2020 (26-215),Other Improvements/Design,12000,,,2020-09,tscc-measure-26-215-review,6,,tscc
2020 (26-215),Project Contingency (10%),93000,,,2020-09,tscc-measure-26-215-review,6,excluding curriculum & technology,tscc
2020 (26-215),Total authorization,1208000,,,2020-09,tscc-measure-26-215-review,2,native $ millions; measure seeks up to $1.208 billion; commonly described as '$1.2 billion'; components below from final-configuration table p.6,tscc
2020,2017 Bond Balance (Benson completion),152000,,,2025-02-13,bond-audit-bond-performance-audit-year-6,21,ballot category; combined into Benson 2020 row per Note D,bonds
2020,2017 Bond Balance,152000.0,152000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,2020 bond funding to complete 2017 bond scope,fy2021-22
2020,2020 Bond Program (program admin),156356.0,156362.168,4281.333,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 9,824,691",fy2021-22
2020,2020 BOND PROGRAM TOTAL,1200000,,,2020-11,tscc-measure-26-259-review,7,Nov 2020; 75% yes (recap rounds to 1.2B; measure authorized 1208000 per 26-215 review and Y5 Exhibit 5),bonds
2020,2020 BOND PROGRAM TOTAL,1208000,,,2023-05,bond-audit-bond-performance-audit-year-5,15,Exhibit 5 total bond amount 1208000; admin+contingency 156400 = 13%,bonds
2020,2020 BOND PROGRAM TOTAL,1208000,1232012.955,632325.247,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 1342413.748 (premium + grants); several areas expect higher-than-budgeted costs (Jefferson/Cleveland/IBW/tech/CBSE),bonds
2020,2020 Bond TOTAL,1208000.0,1208006.168,4281.333,2021-03-11,budget-fy2021-22-vol1,263,actuals approved shown only on program-admin line,fy2021-22
2020,2020 Curriculum subtotal,53444.0,53444.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 16,604,000; nine subject-area lines printed",fy2021-22
2020,2020 Technology subtotal,128200.0,128200.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 58,804,376; components: Device Replacement 31,006,443; Classroom Modernization 24,780,325; Infrastructure and Security 38,041,500; ERP Replacement Planning 11,107,080; Technology Program Administration 23,264,652",fy2021-22
2020,Accessibility - ADA,33800.0,33800.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"printed 'Accessibitly' (sic); Budget FY22 2,200,380",fy2021-22
2020,ADA,33800,,,2023-05,bond-audit-bond-performance-audit-year-5,14,,bonds
2020,Administration,63098.64,63098.64,20573.855,2025-02-13,bond-audit-bond-performance-audit-year-6,21,,bonds
2020,Benson 2020 (completion funding for Benson Main),0,164903.89,160893.697,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 164903.890; absorbs the 152000 '2017 Bond Balance' ballot category (Note D),bonds
2020,Benson MPG Building,64000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,cost + schedule flags (pandemic effects) (p14),bonds
2020,Benson MPG Building,64000,80515.523,77074.819,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 80515.523,bonds
2020,Capacity Improvements,10000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,scope flag; ~6000 to ACCESS/Terwilliger + ~4400 to Harrison Park (p15-16),bonds
2020,Capacity,10000.0,10000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,,fy2021-22
2020,Capital Construction + Health & Safety,857000,,,2022-03-31,bond-audit-bond-performance-audit-year-4,41,>71% of 2020 bond; modernizations + master planning + roofs/mechanical/security/ADA/seismic,bonds
2020,Center for Black Student Excellence,60000,,,2022-03-31,bond-audit-bond-performance-audit-year-4,40,FINDING: CBSE higher risk needing prompt action and close monitoring; no director; undefined roles (p40; per Y6 p33 recap),bonds
2020,Center for Black Student Excellence,60000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,schedule flag (p14),bonds
2020,Center for Black Student Excellence,60000,60000,0,2025-02-13,bond-audit-bond-performance-audit-year-6,21,FINDING: 4+ yrs post-approval no capital projects identified; $0 of 60000 spent; conceptual schedule (complete by summer 2025) never updated; director only hired Fall 2024 (p33),bonds
2020,Center for Black Student Excellence,60000.0,60000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 6,352,501",fy2021-22
2020,Cleveland High School Modernization - Planning & Design,20000.0,20000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,,fy2021-22
2020,Cleveland HS (planning/design),20000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,,bonds
2020,Cleveland HS,20000,20000,5608.356,2025-02-13,bond-audit-bond-performance-audit-year-6,21,FINDING: total-project est ~481000 at May 2024 Board (incl 20000 planning); Dec 2024 75% SD constr-only est >462000; Superintendent target -100000 to ~360000 (340000 from proposed 2025 bond); Dec 2024 calendar shows opening slipping to 2030-31 (p27-28),bonds
2020,Contingency,93257.36,0,0,2025-02-13,bond-audit-bond-performance-audit-year-6,21,"revised 59511.241 (source prints '$59,511.241' - thousands-separator typo)",bonds
2020,Curriculum,53400,,,2022-03-31,bond-audit-bond-performance-audit-year-4,41,,bonds
2020,Curriculum,53400,53400,38100,2023-02,bond-audit-bond-performance-audit-year-5,30,spent 38100 (71%) as of Feb 2023; 10500 of Middle School Redesign found non-compensable and redistributed (Ex 10 note 5),bonds
2020,Curriculum,53444,73369.816,51843.865,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 70161.233 (incl non-bond); implementation complete + extra mental-health curriculum beyond plan (p32),bonds
2020,Harrison Park MS (capacity project),,42700,,2023-07,bond-audit-bond-performance-audit-year-5,16,FINDING: total est 42600-42700 vs 4400 capacity allocation; funded by capacity 4400 + SPED 308 + mechanical 11500 + security 52 + technology 856 + program contingency 25600; scope expansion deemed reasonable (p16),bonds
2020,Ida B. Wells HS (planning/design),20000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,formerly Wilson,bonds
2020,Ida B. Wells HS,20000,20086.066,6759.831,2025-02-13,bond-audit-bond-performance-audit-year-6,21,FINDING: total-project est ~455000 at May 2024 (constr 367000 -> 376000 at Dec 2024 SD); target 360000 with 340000 from proposed 2025 bond (p28),bonds
2020,Infrastructure Subtotal,231000,228762.139,160707.125,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 236143.952; on track within original 231000 bond allocation (p37),bonds
2020,Infrastructure,241000,276677.567,200034.283,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 284533.936,bonds
2020,Infrastructure: ADA,33800,47600.416,39557.13,2025-01,bond-audit-bond-performance-audit-year-6,38,"revised 47389.284; FINDING: ADA+SPED combined ~5000 (11%) over original; 1-yr delay (backflow permits, asbestos on doors)",bonds
2020,Infrastructure: Mechanical,75000,63576.806,33105.181,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 63500; -15% vs original via scope change (15 full replacements -> 4 full + 27 control upgrades); 1-yr delay; 8-12 month equipment lead times; control upgrades run to Fall 2026 (p37),bonds
2020,Infrastructure: Roof,65700,65567.017,60273.511,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 68446.243; complete; 13 sites vs 12 planned,bonds
2020,Infrastructure: Security,25900,22625.9,9601.086,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 27419.107; -13%; 1-yr delay,bonds
2020,Infrastructure: Seismic,17200,24760.548,16410.82,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 24757.866 incl 7500 SRGP state grant; +44% vs bond-only original; 1-yr delay,bonds
2020,Infrastructure: SPED,13400,4631.452,1759.397,2025-01,bond-audit-bond-performance-audit-year-6,38,revised 4631.452; scope grouped with ADA; SPED furniture exceeded target (84 vs 71 sites p37),bonds
2020,Jefferson High School Modernization,311000.0,311000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 2,730,001",fy2021-22
2020,Jefferson HS,311000,366000,,2023-05,bond-audit-bond-performance-audit-year-5,14,FINDING: +55000 escalation reported to Board Dec 2022 (3rd-party estimates 16-20% higher); to be paid from 2020 program contingency leaving ~38000 of 93300 (p14-15),bonds
2020,Jefferson HS,311000,366007.5,19852.23,2025-02-13,bond-audit-bond-performance-audit-year-6,21,FINDING: eBuilder EAC 366007.5 but Sep 2024 100% schematic design estimate = 491000 (+124800; constr 407000); 2-yr delay to 2028-29 opening; design paused for Superintendent cost-reduction exercise (p22); Jul 2023 CMGC constr-only est 513000 vs 3rd-party 470000 (p24),bonds
2020,Mechanical,75000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,scope flag: 15 full replacements revised to control upgrades at multiple sites (p37 of Y6 recaps),bonds
2020,Mechanical,75000.0,75000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 1,986,768",fy2021-22
2020,MPG Building,64000.0,64000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 38,600,000; Multiple Pathways to Graduation building on Benson campus",fy2021-22
2020,Program Admin,63100,,,2023-05,bond-audit-bond-performance-audit-year-5,15,Exhibit 5: admin 5.2% of bond,bonds
2020,Program Contingency,93300,,,2023-05,bond-audit-bond-performance-audit-year-5,15,59% (55000) committed to Jefferson escalation leaving ~38000 (p14-15),bonds
2020,Roofing,65700.0,65700.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 3,486,768",fy2021-22
2020,Roofs,65700,,,2023-05,bond-audit-bond-performance-audit-year-5,14,,bonds
2020,Roosevelt HS (Phase V),2000,,,2023-05,bond-audit-bond-performance-audit-year-5,14,,bonds
2020,Roosevelt HS (Phase V),2000,2000,97.625,2025-02-13,bond-audit-bond-performance-audit-year-6,21,,bonds
2020,Roosevelt Phase V,2000.0,2000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,,fy2021-22
2020,Security,25900,,,2023-05,bond-audit-bond-performance-audit-year-5,14,,bonds
2020,Security,25900.0,25900.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 1,604,505",fy2021-22
2020,Seismic,17200,,,2023-05,bond-audit-bond-performance-audit-year-5,14,,bonds
2020,Seismic,17200.0,17200.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 5,018,583",fy2021-22
2020,Special Education Improvements,13400.0,13400.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 872,340",fy2021-22
2020,Special Education,13400,,,2022-03-31,bond-audit-bond-performance-audit-year-4,41,,bonds
2020,Special Education,13400,,,2023-05,bond-audit-bond-performance-audit-year-5,14,,bonds
2020,Technology,128200,,,2022-03-31,bond-audit-bond-performance-audit-year-4,41,core infrastructure + assistive tech + device replacement,bonds
2020,Technology,128200,105353.953,89586.686,2025-02-13,bond-audit-bond-performance-audit-year-6,21,revised budget 151681.785; FINDING: cumulative 4-yr schedule delay to 2029 (IDIQ contracting pool shrank to 4 during vaccination mandate; no change possible until IDIQ ended Nov 2024) (p32-33),bonds
2020,Technology,128200,128200,70300,2023-05,bond-audit-bond-performance-audit-year-5,31,spent 70300 as of May 2023; Feb 2023 breakdown p32: bond actuals 64000 + 6000 non-bond; classroom modernization delayed to 2026; devices complete (80000+ devices),bonds
2020,Technology: Classroom Modernization,25000,25800,,2024-07,bond-audit-bond-performance-audit-year-6,32,baseline completion 2025 -> revised 2029,bonds
2020,Technology: Device Replacement,31000,38700,,2024-07,bond-audit-bond-performance-audit-year-6,32,completed,bonds
2020,Technology: ERP Replacement Planning,11000,10800,,2024-07,bond-audit-bond-performance-audit-year-6,32,completed,bonds
2020,Technology: Infrastructure & Security,38000,39100,,2024-07,bond-audit-bond-performance-audit-year-6,32,baseline 2025 -> revised 2029,bonds
2020,Technology: Program Administration,23200,13000,,2024-07,bond-audit-bond-performance-audit-year-6,32,revised amount per Jul 2024 BAC report,bonds
2020,Wilson High School Modernization - Planning & Design,20000.0,20000.0,0.0,2021-03-11,budget-fy2021-22-vol1,263,school renamed Ida B Wells HS (p.260),fy2021-22
2025 (26-259),"Safety/security, seismic, and high school modernization",974000,,,2025-06,tscc-review-fy2026,12,"narrative groups 'update safety and security systems, update seismic performance, and modernize high schools ($974 million)'",tscc
2025 (26-259),Bond administration,83000,,,2025-05,tscc-measure-26-259-review,8,,tscc
2025 (26-259),Curriculum materials,56000,,,2025-06,tscc-review-fy2026,12,,tscc
2025 (26-259),Extracurricular activities,79000,,,2025-06,tscc-review-fy2026,12,,tscc
2025 (26-259),Physical education,10000,,,2025-06,tscc-review-fy2026,12,,tscc
2025 (26-259),Project contingency (5%),83000,,,2025-05,tscc-measure-26-259-review,8,$83M contingency and $83M administration per Bond Accountability Committee report cited in review,tscc
2025 (26-259),Technology,176000,,,2025-06,tscc-review-fy2026,12,,tscc
2025 (26-259),Total authorization,1830000,,,2025-05,tscc-measure-26-259-review,1,"$1.83 billion GO bonds; avg est tax rate for all PPS bonds continues at $2.50/$1,000 AV; first-year (2025-26) rate for new bonds alone est $1.17/$1,000 assuming $79.6M 2025 issuance (p.7)",tscc
2025 (26-259),Update/repair aging elementary and middle schools,366000,,,2025-06,tscc-review-fy2026,12,component amounts from FY25-26 review narrative (measure review's own project-cost breakout table is image-only),tscc
2025,2025 BOND PROGRAM TOTAL (proposed),1830000,,,2025-05,tscc-measure-26-259-review,1,authorizes 1830000; avg rate for all PPS bonds to continue at 2.50/1000 AV; NOT the 2020 bond (that is measure 26-215),bonds
2025,Administration (proposed),83000,,,2025-05,tscc-measure-26-259-review,8,,bonds
2025,Contingency (proposed),83000,,,2025-05,tscc-measure-26-259-review,8,5% overall project contingency,bonds
all,Total Bond (2012+2017+2020),2480000.0,2705288.684,1018949.592,2021-03-11,budget-fy2021-22-vol1,263,"Budget FY22 404,720,553",fy2021-22
combined,TOTAL Capital Improvement Bond Program,1272000,1405463,565782,2019-01-01,budget-fy2019-20-book,159,combined 2012+2017 grand total incl additional funding resource,fy2019-20
